Date,Close,High,Low,Open,Volume,Symbol,Revenue,daily_return,Price_change,Volatility,Average_price,Net_Profit,Operating_Margin,Price_Change
2015-02-13,1032.2818603515625,1035.9413529141086,1000.3629530004654,1004.3274032765571,4158326,TCS,4292564499.2282715,2.7834008097166003,35.57839991364324,3.446578040374202,1018.3046318140598,858512899.8456544,20.0,27.954457075005394
2015-02-16,1051.0062255859375,1055.1536304063504,1038.8892199183913,1040.922271229386,2364392,TCS,2484990711.725586,0.968751907348637,16.26441048795914,1.547508482063625,1045.9642484076617,496998142.3451172,20.0,10.08395435655143
2015-02-18,1071.6820068359375,1074.6706311595572,1043.0566918585146,1051.1075927178074,2660014,TCS,2850689141.7316895,1.9574032440324838,31.613939301042592,2.949936557615671,1061.3947997768723,570137828.3463379,20.0,20.574414118130107
2015-02-19,1090.1424560546875,1092.6837701764885,1071.418033751242,1071.8246440107303,2618002,TCS,2853995130.236084,1.7090306839197722,21.26573642524636,1.9507300451547183,1080.983550032709,570799026.0472168,20.0,18.317812043957247
2015-02-20,1087.9058837890625,1097.3595704465683,1074.3657449804284,1097.3595704465683,1801588,TCS,1959958185.3637695,-0.861493981745535,22.993825466139924,2.1135859092934433,1092.6327271178154,391991637.0727539,20.0,-9.453686657505841
2015-02-23,1096.4854736328125,1106.793083015511,1086.0559605931044,1086.0559605931044,1614892,TCS,1770705619.4858398,0.9603108327873345,20.737122422406628,1.8912354902159887,1091.2707171129584,354141123.897168,20.0,10.429513039708127
2015-02-24,1099.7786865234375,1110.045591721595,1089.308476271851,1095.4076278747168,2199922,TCS,2419427327.6140137,0.3990348923533893,20.737115449743897,1.8855716794527972,1097.5931571990773,483885465.52280277,20.0,4.371058648720691
2015-02-25,1086.5439453125,1106.7931566436866,1084.7752501973287,1101.913833396176,1767994,TCS,1921003176.0488281,-1.3948357501153137,22.017906446357983,2.026416560632109,1094.228889354338,384200635.2097657,20.0,-15.36988808367596
2015-02-26,1080.1397705078125,1094.8997423240842,1067.4942513914539,1089.3088514292904,1991994,TCS,2151631942.0129395,-0.8417338121733842,27.4054909326303,2.5372170973526877,1084.7243109685514,430326388.4025879,20.0,-9.169080921477871
2015-02-27,1082.5386962890625,1087.9872332137795,1063.8142768874475,1081.3594671572491,2877376,TCS,3114870863.7734375,0.10905061338330069,24.17295632633204,2.232987736068634,1081.9490817231558,622974172.7546875,20.0,1.179229131813372
2015-03-02,1085.405029296875,1101.4864796143388,1078.5537082442604,1089.5931334435165,2176038,TCS,2361882589.1411133,-0.3843732140093046,22.9327713700784,2.112830763731972,1087.4990813701957,472376517.8282227,20.0,-4.188104146641535
2015-03-03,1128.7498779296875,1134.442420541725,1088.149811092238,1090.5285203917226,3424308,TCS,3865187236.9936523,3.5048471290081986,46.29260944948692,4.101228301738128,1109.6391991607052,773037447.3987305,20.0,38.22135753796488
2015-03-04,1116.5513916015625,1143.4283602916883,1104.2107347285366,1133.6290166734,3862994,TCS,4313231326.448486,-1.5064562410330011,39.217625563151614,3.5123887586489424,1125.0902041374811,862646265.2896973,20.0,-17.077625071837474
2015-03-05,1096.4041748046875,1126.5949854829528,1090.1424167424123,1118.1781732690886,2173514,TCS,2383049823.5964355,-1.9472745028408975,36.45256874054053,3.3247382286768614,1107.2911740368882,476609964.71928716,20.0,-21.773998464401075
2015-03-09,1076.2161865234375,1089.6343267305142,1061.2529072869813,1073.4512165661422,2883174,TCS,3102918527.3635254,0.2575776071259349,28.381419443532877,2.637148539385474,1074.8337015447898,620583705.4727051,20.0,2.764969957295307
2015-03-10,1074.548828125,1089.0038415634756,1055.2551926883636,1077.0697916809331,3037052,TCS,3263460667.5546875,-0.2340575861847142,33.74864887511194,3.140727344517287,1075.8093099029666,652692133.5109376,20.0,-2.520963555933122
2015-03-11,1059.850341796875,1081.56329711741,1056.2925008511804,1074.2646604028369,2240200,TCS,2374276735.6933594,-1.3417846772094923,25.27079626622958,2.3843740261842403,1067.057501099856,474855347.1386719,20.0,-14.414318605961853
2015-03-12,1064.9324951171875,1067.3111052942827,1053.161149339057,1066.9044950824643,1827636,TCS,1946308965.645996,-0.1848337854387252,14.149955955225778,1.3287185826429952,1065.918495099826,389261793.12919927,20.0,-1.9719999652768365
2015-03-13,1050.0098876953125,1073.4305756090466,1047.0212630229285,1072.6377055745575,1586838,TCS,1666195590.1706543,-2.1095489895280517,26.409312586118176,2.5151489424622944,1061.323796634935,333239118.0341309,20.0,-22.627817879244958
2015-03-16,1041.8572998046875,1061.2525858296297,1037.6691950334157,1051.1686333593045,1556296,TCS,1621438348.256836,-0.8858077818456246,23.583390796213962,2.26359126155137,1046.512966581996,324287669.6513672,20.0,-9.311333554617022
2015-03-17,1050.5589599609375,1059.9109963954088,1040.0074430551927,1050.0710474792434,1267318,TCS,1331392280.0197754,0.04646471139885256,19.90355334021615,1.8945679489475027,1050.3150037200903,266278456.0039551,20.0,0.4879124816941385
2015-03-18,1040.65771484375,1056.9627221045207,1037.5470876708828,1053.5065358702604,1255170,TCS,1306202343.9404297,-1.219624234784319,19.415634433637933,1.8657080187555333,1047.0821253570052,261240468.78808594,20.0,-12.84882102651045
2015-03-19,1055.66162109375,1059.565118312606,1044.2155848715704,1047.4277654068367,2448964,TCS,2585277306.2402344,0.7861024844720608,15.349533441035646,1.454020221473269,1051.5446932502932,517055461.2480469,20.0,8.23385568691333
2015-03-20,1061.6392822265625,1064.505905071705,1048.5871494460737,1055.5604772979932,1963908,TCS,2084961879.479004,0.5758840975298474,15.91875562563132,1.4994505094277517,1058.5998797622779,416992375.8958008,20.0,6.078804928569298
2015-03-23,1064.1597900390625,1069.7913807250588,1059.6261262521869,1063.6922280413357,1566608,TCS,1667121240.3535156,0.043956511611231944,10.165254472871993,0.9552376032267536,1063.926009040199,333424248.07070315,20.0,0.46756199772676155
2015-03-24,1053.6490478515625,1072.231114432731,1049.9082538061525,1069.384842987517,2394878,TCS,2523360924.4206543,-1.4714810331511488,22.322860626578404,2.118623907276879,1061.5169454195398,504672184.8841309,20.0,-15.735795135954504
2015-03-25,1046.51318359375,1062.8792469797231,1034.9044405181296,1053.6898151593164,2224858,TCS,2328343228.6240234,-0.6810952770271649,27.974806461593516,2.673144199247199,1050.1014993765332,465668645.7248047,20.0,-7.1766315655663675
2015-03-26,1021.8516845703125,1051.7781225857382,1016.931663602968,1038.1973875778988,3091642,TCS,3159199585.78833,-1.5744311441315217,34.84645898277017,3.4101288385528346,1030.0245360741055,631839917.1576661,20.0,-16.34570300758628
2015-03-27,1022.5433959960938,1045.7607798799356,1018.1926865178671,1029.130461673136,2751776,TCS,2813810376.060547,-0.640061286917234,27.568093362068566,2.696031627607703,1025.8369288346148,562762075.2121094,20.000000000000004,-6.587065677042347
2015-03-30,1042.6097412109375,1044.9477503914784,1024.657936515342,1026.690987976682,1339006,TCS,1396060699.1398926,1.5504911819306884,20.28981387613635,1.946060263408893,1034.6503645938096,279212139.82797855,20.000000000000004,15.918753234255519
2015-03-31,1038.4619140625,1044.7643710313937,1025.0641302310232,1044.7643710313937,2427028,TCS,2520376142.3632812,-0.6032419503999638,19.700240800370466,1.8970595390737464,1041.6131425469468,504075228.47265625,20.0,-6.302456968893694
2015-04-01,1033.8671875,1042.385748976098,1025.5723807151703,1040.1086925837667,2075758,TCS,2146058085.390625,-0.6000820037627008,16.813368260927746,1.6262599746089481,1036.9879400418833,429211617.078125,20.0,-6.241505083766697
2015-04-06,1035.758056640625,1042.1011154289508,1016.5660773832916,1040.1087653987195,1568542,TCS,1624630013.6791992,-0.4182936345533682,25.535038045659235,2.4653477597344993,1037.9334110196723,324926002.73583984,20.0,-4.35070875809447
2015-04-07,1051.0870361328125,1056.7795771408819,1034.4160231806093,1041.9179591550933,1886922,TCS,1983319252.3937988,0.8800190933607243,22.36355396027261,2.1276595744680855,1046.502497643953,396663850.47875977,20.0,9.169076977719214
2015-04-08,1074.020263671875,1080.1601180921946,1053.4661951603798,1054.7469777267654,1652134,TCS,1774425394.3012695,1.8272899901214394,26.693922931814768,2.4854207909032575,1064.38362069932,354885078.86025393,20.0,19.273285945109592
2015-04-09,1083.4332275390625,1092.7445614048047,1071.4788281050205,1081.1765210765589,2544450,TCS,2756741675.8117676,0.20872692095242465,21.265733299784188,1.9628097753737634,1082.3048743078107,551348335.1623535,20.0,2.2567064625036437
2015-04-10,1079.0418701171875,1085.974594214442,1068.5716569639071,1076.907166464577,1815544,TCS,1959047993.040039,0.1982254106097839,17.402937250534933,1.612813898374946,1077.9745182908823,391809598.60800785,20.0,2.1347036526105967
2015-04-13,1079.7532958984375,1083.6160924757432,1068.5715163325528,1083.2094823097111,1308642,TCS,1413010512.651123,-0.3190690690690822,15.044576143190397,1.3933345885897164,1081.4813891040744,282602102.5302246,20.0,-3.4561864112736203
2015-04-15,1068.4698486328125,1103.4992742315028,1061.008512483951,1079.4279725979063,2913934,TCS,3113450619.906006,-1.0151788024096156,42.49076174755169,3.9767862239558567,1073.9489106153594,622690123.9812012,20.0,-10.958123965093819
